park,parkLabel,countryLabel,continentLabel,areaKm2,inceptionYear,elevation,coord
http://www.wikidata.org/entity/Q253517,Кейп-Бретон-Хайлендс,Канада,Северная Америка,948,1936,,Point(-60.6597 46.7167)
http://www.wikidata.org/entity/Q254556,Conondale National Park,Австралия,Австралия и Океания,358.76390625,1977,701,Point(152.645555555 -26.663055555)
http://www.wikidata.org/entity/Q254556,Conondale National Park,Австралия,Австралия и Океания,358.76390625,2018,701,Point(152.645555555 -26.663055555)
http://www.wikidata.org/entity/Q254556,Conondale National Park,Австралия,Австралия и Океания,35648,1977,701,Point(152.645555555 -26.663055555)
http://www.wikidata.org/entity/Q254556,Conondale National Park,Австралия,Австралия и Океания,35648,2018,701,Point(152.645555555 -26.663055555)
http://www.wikidata.org/entity/Q255449,Moresby Range National Park,Австралия,Австралия и Океания,616,1973,143,Point(146.075833333 -17.5375)
http://www.wikidata.org/entity/Q255449,Moresby Range National Park,Австралия,Австралия и Океания,616,2016,143,Point(146.075833333 -17.5375)
http://www.wikidata.org/entity/Q255449,Moresby Range National Park,Австралия,Австралия и Океания,6.47635131835937,1973,143,Point(146.075833333 -17.5375)
http://www.wikidata.org/entity/Q255449,Moresby Range National Park,Австралия,Австралия и Океания,6.47635131835937,2016,143,Point(146.075833333 -17.5375)
http://www.wikidata.org/entity/Q256022,Wyperfeld National Park,Австралия,Австралия и Океания,3594.45,1921,77,Point(141.877 -35.3892)
http://www.wikidata.org/entity/Q256022,Wyperfeld National Park,Австралия,Австралия и Океания,3594.45,1997,77,Point(141.877 -35.3892)
http://www.wikidata.org/entity/Q256022,Wyperfeld National Park,Австралия,Австралия и Океания,3598.575,1921,77,Point(141.877 -35.3892)
http://www.wikidata.org/entity/Q256022,Wyperfeld National Park,Австралия,Австралия и Океания,3598.575,1997,77,Point(141.877 -35.3892)
http://www.wikidata.org/entity/Q256022,Wyperfeld National Park,Австралия,Австралия и Океания,3598.55,1921,77,Point(141.877 -35.3892)
http://www.wikidata.org/entity/Q256022,Wyperfeld National Park,Австралия,Австралия и Океания,3598.55,1997,77,Point(141.877 -35.3892)
http://www.wikidata.org/entity/Q257598,Грос-Морн,Канада,Северная Америка,1805,2005,,Point(-57.738055555 49.689444444)
http://www.wikidata.org/entity/Q257598,Грос-Морн,Канада,Северная Америка,1805,2005,,Point(-57.738055555 49.689444444)
http://www.wikidata.org/entity/Q261577,Глейшер-Бей,США,Северная Америка,13287,1980,,Point(-137.0 58.7)
http://www.wikidata.org/entity/Q68472,Грейт-Отуэй,Австралия,Австралия и Океания,1031.85,2005,,Point(143.557 -38.7733)
http://www.wikidata.org/entity/Q68472,Грейт-Отуэй,Австралия,Австралия и Океания,1031.85,2017,,Point(143.557 -38.7733)
http://www.wikidata.org/entity/Q68472,Грейт-Отуэй,Австралия,Австралия и Океания,1104.161953125,2005,,Point(143.557 -38.7733)
http://www.wikidata.org/entity/Q68472,Грейт-Отуэй,Австралия,Австралия и Океания,1104.161953125,2017,,Point(143.557 -38.7733)
http://www.wikidata.org/entity/Q68472,Грейт-Отуэй,Австралия,Австралия и Океания,1105.55,2005,,Point(143.557 -38.7733)
http://www.wikidata.org/entity/Q68472,Грейт-Отуэй,Австралия,Австралия и Океания,1105.55,2017,,Point(143.557 -38.7733)
http://www.wikidata.org/entity/Q79753,Сакликент,Турция,Азия,123.9,1996,,Point(29.4034195 36.4687843)
http://www.wikidata.org/entity/Q80343,Уэст-Кейп-Хоуи,Австралия,Австралия и Океания,35,1985,,Point(117.593 -35.1061)
http://www.wikidata.org/entity/Q80343,Уэст-Кейп-Хоуи,Австралия,Австралия и Океания,35,1987,,Point(117.593 -35.1061)
http://www.wikidata.org/entity/Q80343,Уэст-Кейп-Хоуи,Австралия,Австралия и Океания,36.712490234375,1985,,Point(117.593 -35.1061)
http://www.wikidata.org/entity/Q80343,Уэст-Кейп-Хоуи,Австралия,Австралия и Океания,36.712490234375,1987,,Point(117.593 -35.1061)
http://www.wikidata.org/entity/Q80344,Олимп,Греция,Европа,191.3959,1938,2917.727,Point(22.35 40.083333333)
http://www.wikidata.org/entity/Q82371,Semenic-Cheile Carașului National Park,Румыния,Европа,362.14,1990,,Point(21.977 45.142)
http://www.wikidata.org/entity/Q82371,Semenic-Cheile Carașului National Park,Румыния,Европа,362.14,2000,,Point(21.977 45.142)
http://www.wikidata.org/entity/Q82371,Semenic-Cheile Carașului National Park,Румыния,Европа,360.8953581,1990,,Point(21.977 45.142)
http://www.wikidata.org/entity/Q82371,Semenic-Cheile Carașului National Park,Румыния,Европа,360.8953581,2000,,Point(21.977 45.142)
http://www.wikidata.org/entity/Q83397,Швейцарский национальный парк,Швейцария,Европа,170.3272868,1914,1900,Point(10.095 46.7)
http://www.wikidata.org/entity/Q83397,Швейцарский национальный парк,Швейцария,Европа,170.3275,1914,1900,Point(10.095 46.7)
http://www.wikidata.org/entity/Q83397,Швейцарский национальный парк,Швейцария,Европа,172.3,1914,1900,Point(10.095 46.7)
http://www.wikidata.org/entity/Q87172,Те Уревера,Новая Зеландия,Австралия и Океания,2127,1954,,Point(177.029 -38.539)
http://www.wikidata.org/entity/Q112375,Галапагос (национальный парк),Эквадор,Южная Америка,76651,1959,,Point(-90.0 -0.333333333)
http://www.wikidata.org/entity/Q112854,Manuel Antonio National Park,Коста-Рика,Северная Америка,682,1972,50,Point(-84.13583333 9.37555556)
http://www.wikidata.org/entity/Q113523,Королевский национальный парк,Австралия,Австралия и Океания,0.15,1879,147,Point(151.0511111 -34.131666666)
http://www.wikidata.org/entity/Q113523,Королевский национальный парк,Австралия,Австралия и Океания,0.15,2016,147,Point(151.0511111 -34.131666666)
http://www.wikidata.org/entity/Q113523,Королевский национальный парк,Австралия,Австралия и Океания,153.240771484375,1879,147,Point(151.0511111 -34.131666666)
http://www.wikidata.org/entity/Q113523,Королевский национальный парк,Австралия,Австралия и Океания,153.240771484375,2016,147,Point(151.0511111 -34.131666666)
http://www.wikidata.org/entity/Q113952,Gorongosa National Park,Мозамбик,Африка,4000,1960,,Point(34.313611111 -18.690277777)
http://www.wikidata.org/entity/Q113952,Gorongosa National Park,Мозамбик,Африка,4000,1960,,Point(34.5 -18.766)
http://www.wikidata.org/entity/Q115591,Стерлинг-Рейндж,Австралия,Австралия и Океания,1156.62,1913,312,Point(118.047177 -34.397718)
http://www.wikidata.org/entity/Q115591,Стерлинг-Рейндж,Австралия,Австралия и Океания,1156.62,1994,312,Point(118.047177 -34.397718)
http://www.wikidata.org/entity/Q115591,Стерлинг-Рейндж,Австралия,Австралия и Океания,1156.62,2011,312,Point(118.047177 -34.397718)
http://www.wikidata.org/entity/Q116715,Национальный парк Акагера,Руанда,Африка,1100,1934,,Point(30.571111111 -1.617777777)
http://www.wikidata.org/entity/Q116715,Национальный парк Акагера,Руанда,Африка,1100,1934,,Point(30.783333333 -1.633333333)
http://www.wikidata.org/entity/Q117583,Cabañeros National Park,Испания,Европа,408.7511478,1995,,Point(-4.487222222 39.396388888)
http://www.wikidata.org/entity/Q117583,Cabañeros National Park,Испания,Европа,409,1995,,Point(-4.487222222 39.396388888)
http://www.wikidata.org/entity/Q119150,Бьёрнландет,Швеция,Европа,20.50691,1991,,Point(18.01487125 63.974039971)
http://www.wikidata.org/entity/Q119150,Бьёрнландет,Швеция,Европа,23.7119,1991,,Point(18.01487125 63.974039971)
http://www.wikidata.org/entity/Q119150,Бьёрнландет,Швеция,Европа,23.3325,1991,,Point(18.01487125 63.974039971)
