park,parkLabel,countryLabel,continentLabel,areaKm2,inceptionYear,elevation,coord,instanceType,instanceTypeLabel,visitors,year_x,followers,year_y
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,22500,1960.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,22500,1960.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,22500,1960.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,46000,1970.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,46000,1970.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,46000,1970.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,46000,1970.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,594660,2018.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,594660,2018.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,594660,2018.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,594660,2018.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,601152,2019.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,601152,2019.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,601152,2019.0,88391.0,2022.0
